Round,Host,Guest,Draft
R64,ACCM,JackK,https://aoe2cm.net/draft/lJNIt
R64,Lucho,Babaorum,https://aoe2cm.net/draft/eDJsD
R64,TheViper,Lamo,https://aoe2cm.net/draft/miNvR
R64,classicpro,wide,https://aoe2cm.net/draft/wmhAX
R64,Liereyy,repard,https://aoe2cm.net/draft/yUuQT
R64,Lewis,lyx,https://aoe2cm.net/draft/aPVSE
R64,Vinchester,Ganji,https://aoe2cm.net/draft/JcFar
R64,Hera,miguel,https://aoe2cm.net/draft/PsXws
R64,Barles,BadKoala,https://aoe2cm.net/draft/EWRdu
R64,Valas,iBUYPOWER,https://aoe2cm.net/draft/dLmrG
R64,Hearttt,Hope,https://aoe2cm.net/draft/ExkXp
R64,Dragonstar,Overtaken,https://aoe2cm.net/draft/qaFQq
R64,Yo,Uzzi,https://aoe2cm.net/draft/VoiWW
R64,DauT,DOOMSTER,https://aoe2cm.net/draft/SrbTB
R64,Capoch,Dennis,https://aoe2cm.net/draft/ICnmR
R64,Sebastian,Dr.Kozmonot,https://aoe2cm.net/draft/dVXwv
R64,Ciskhan,GoKu,https://aoe2cm.net/draft/vosWw
R64,TaToH,Gabi,https://aoe2cm.net/draft/vxYaL
R64,MbL,Ozone,https://aoe2cm.net/draft/DNwoC
R64,Nicov,Sobek,https://aoe2cm.net/draft/dHcRf
R64,Dark,Terz,https://aoe2cm.net/draft/hSCnf
R64,Kingstone,deaKer,https://aoe2cm.net/draft/gYqWT
R64,Mihai06,chart,https://aoe2cm.net/draft/trnMS
R64,SoraKuma,Daniel,https://aoe2cm.net/draft/ACuPf
R64,Margougou,Prisma09,https://aoe2cm.net/draft/cCgWQ
R64,Vivi,Z40,https://aoe2cm.net/draft/XQULa
R64,FreakinAndy,F1Re,https://aoe2cm.net/draft/sJBYh
R64,Villese,JorDan_AoE,https://aoe2cm.net/draft/IZkpu
R64,Running,Monoz,https://aoe2cm.net/draft/lNRyQ
R64,dogao,StonePleaseAoE,https://aoe2cm.net/draft/UyoSM
R64,AntagonisT,Youpudding,https://aoe2cm.net/draft/mtQEY
R64,Sitaux,Nahue05,https://aoe2cm.net/draft/HfAdz
R32,Sebastian,Youpudding,https://aoe2cm.net/draft/zgoVd
R32,TheViper,classicpro,https://aoe2cm.net/draft/wRvYv
R32,Sitaux,Capoch,https://aoe2cm.net/draft/oKhhf
R32,TaToH,iBUYPOWER,https://aoe2cm.net/draft/PEysm
R32,MbL,Ciskhan,https://aoe2cm.net/draft/pYmtj
R32,Liereyy,Kingstone,https://aoe2cm.net/draft/AExIS
R32,ACCM,Villese,https://aoe2cm.net/draft/UZlca
R32,Barles,Daniel,https://aoe2cm.net/draft/xbcUY
R32,Yo,StonePleaseAoE,https://aoe2cm.net/draft/RUxHw
R32,FreakinAndy,Lucho,https://aoe2cm.net/draft/ueYJw
R32,Nicov,chart,https://aoe2cm.net/draft/fZaaj
R32,Hera,Lewis,https://aoe2cm.net/draft/Kodel
R32,Vinchester,Prisma09,https://aoe2cm.net/draft/PKIFf
R32,DauT,Vivi,https://aoe2cm.net/draft/cgTVV
R32,Hearttt,Dragonstar,https://aoe2cm.net/draft/uYbwi
R32,Dark,Running,https://aoe2cm.net/draft/gtSQL
R16,Yo,Nicov,https://aoe2cm.net/draft/TiUjs
R16,TheViper,Sitaux,https://aoe2cm.net/draft/ByKZU
R16,Vinchester,Dark,https://aoe2cm.net/draft/nkOgK
R16,Liereyy,Lucho,https://aoe2cm.net/draft/mqmqZ
R16,ACCM,MbL,https://aoe2cm.net/draft/YcLdZ
R16,Hera,Barles,https://aoe2cm.net/draft/jDrTG
R16,Hearttt,DauT,https://aoe2cm.net/draft/ogaSI
R16,TaToH,Sebastian,https://aoe2cm.net/draft/Gvsjj
Quarter,Yo,ACCM,https://aoe2cm.net/draft/ljBNP
Quarter,Hera,Hearttt,https://aoe2cm.net/draft/YaGUH
Quarter,TheViper,Sebastian,https://aoe2cm.net/draft/mODPh
Quarter,Liereyy,Vinchester,https://aoe2cm.net/draft/CxqCR
Semi,Hera,Yo,https://aoe2cm.net/draft/BByts
Semi,TheViper,Vinchester,https://aoe2cm.net/draft/tJsAY
Final,Hera,TheViper,https://aoe2cm.net/draft/jpaAE
