Round,Winner,Loser,WinnerCiv,LoserCiv,WinnerBetterMap,LoserBetterMap,WinnerAPM,LoserAPM,WinnerLamedBoar,WinnerGotBoarLamed
R64,ACCM,JackK,Georgians,Jurchens,1,0,76,72,0,0
R64,ACCM,JackK,Byzantines,Italians,1,0,72,73,0,0
R64,ACCM,JackK,Incas,Malians,1,0,73,73,0,0
R64,Lucho,Babaorum,Magyars,Ethiopians,1,0,85,76,0,0
R64,Lucho,Babaorum,Jurchens,Armenians,0,1,107,77,1,0
R64,Lucho,Babaorum,Chinese,Romans,0,1,96,71,0,0
R64,TheViper,Lamo,Vietnamese,Malians,0,0,91,81,0,0
R64,TheViper,Lamo,Bengalis,Portuguese,1,0,80,90,0,0
R64,TheViper,Lamo,Georgians,Persians,0,0,84,99,0,0
R64,classicpro,wide,Incas,Malians,1,0,81,82,0,0
R64,classicpro,wide,Khmer,Persians,0,1,91,78,0,0
R64,classicpro,wide,Chinese,Dravidians,0,1,97,77,0,0
R64,Liereyy,repard,Georgians,Malay,0,0,99,96,0,0
R64,Liereyy,repard,Persians,Tatars,0,0,96,94,0,0
R64,Liereyy,repard,Hindustanis,Vikings,0,0,107,101,0,0
R64,Lewis,lyx,Vikings,Japanese,1,0,85,62,0,0
R64,Lewis,lyx,Persians,Huns,1,0,83,72,0,0
R64,Lewis,lyx,Georgians,Vietnamese,0,0,86,62,0,0
R64,lyx,Lewis,Mayans,Wei,1,0,61,85,1,1
R64,lyx,Lewis,Byzantines,Portuguese,1,0,63,81,0,0
R64,Vinchester,Ganji,Portuguese,Mayans,0,0,86,80,0,0
R64,Vinchester,Ganji,Hindustanis,Huns,0,0,81,78,0,0
R64,Vinchester,Ganji,Lithuanians,Persians,0,1,86,75,0,0
R64,Hera,miguel,Magyars,Persians,1,0,129,71,0,0
R64,Hera,miguel,Mongols,Chinese,1,0,126,75,0,0
R64,Hera,miguel,Khmer,Huns,0,0,120,67,0,0
R64,Barles,BadKoala,Khmer,Koreans,1,0,76,55,0,0
R64,Barles,BadKoala,Malay,Byzantines,0,0,70,60,0,0
R64,Barles,BadKoala,Incas,Armenians,0,0,72,71,0,0
R64,iBUYPOWER,Valas,Magyars,Portuguese,1,0,52,78,0,0
R64,iBUYPOWER,Valas,Huns,Persians,1,0,58,81,0,0
R64,iBUYPOWER,Valas,Mongols,Koreans,0,0,57,79,1,0
R64,Valas,iBUYPOWER,Chinese,Vietnamese,0,0,77,57,0,0
R64,Hearttt,Hope,Shu,Mayans,0,0,101,68,0,0
R64,Hearttt,Hope,Berbers,Khmer,0,0,99,68,0,0
R64,Hearttt,Hope,Persians,Romans,0,1,102,63,0,0
R64,Dragonstar,Overtaken,Romans,Magyars,1,0,54,114,0,0
R64,Dragonstar,Overtaken,Georgians,Japanese,0,0,35,93,0,0
R64,Dragonstar,Overtaken,Khmer,Persians,0,0,48,101,0,0
R64,Overtaken,Dragonstar,Hindustanis,Portuguese,0,0,121,51,0,0
R64,Yo,Uzzi,Romans,Persians,1,0,70,67,0,0
R64,Yo,Uzzi,Khitans,Jurchens,0,0,72,65,0,0
R64,Yo,Uzzi,Hindustanis,Khitans,0,1,74,63,0,0
R64,DauT,DOOMSTER,Portuguese,Magyars,1,0,64,100,0,0
R64,DauT,DOOMSTER,Vikings,Portuguese,1,0,69,100,0,0
R64,DauT,DOOMSTER,Romans,Vietnamese,0,0,64,91,0,0
R64,Capoch,Dennis,Chinese,Persians,0,0,72,71,0,0
R64,Capoch,Dennis,Vietnamese,Incas,0,1,76,72,0,1
R64,Capoch,Dennis,Khmer,Chinese,0,1,83,82,0,0
R64,Ciskhan,GoKu,Huns,Mayans,1,0,83,66,0,0
R64,Ciskhan,GoKu,Gurjaras,Khmer,1,0,79,61,0,0
R64,Ciskhan,GoKu,Shu,Italians,0,0,82,65,0,0
R64,GoKu,Ciskhan,Portuguese,Japanese,0,0,56,86,0,0
R64,Sebastian,Dr.Kozmonot,Byzantines,Japanese,1,0,100,85,0,0
R64,Sebastian,Dr.Kozmonot,Mayans,Italians,0,1,87,79,0,0
R64,Sebastian,Dr.Kozmonot,Gurjaras,Franks,1,0,87,70,0,0
R64,TaToH,Gabi,Slavs,Vietnamese,0,1,76,64,0,0
R64,TaToH,Gabi,Teutons,Portuguese,1,0,82,66,0,0
R64,TaToH,Gabi,Vikings,Georgians,1,0,75,66,0,0
R64,Gabi,TaToH,Hindustanis,Armenians,0,0,71,81,0,0
R64,MbL,Ozone,Georgians,Gurjaras,0,0,78,110,0,0
R64,MbL,Ozone,Hindustanis,Romans,0,0,81,102,0,0
R64,MbL,Ozone,Magyars,Khmer,0,0,81,102,0,0
R64,Nicov,Sobek,Saracens,Incas,0,1,92,86,0,0
R64,Nicov,Sobek,Portuguese,Georgians,0,0,96,84,0,0
R64,Nicov,Sobek,Koreans,Chinese,1,0,88,81,0,0
R64,Dark,Terz,Lithuanians,Gurjaras,0,1,133,90,0,0
R64,Dark,Terz,Mayans,Vikings,0,1,129,86,0,0
R64,Dark,Terz,Vietnamese,Persians,0,0,124,87,1,0
R64,Kingstone,deaKer,Gurjaras,Portuguese,1,0,91,75,0,0
R64,Kingstone,deaKer,Japanese,Byzantines,1,0,83,70,0,0
R64,Kingstone,deaKer,Mongols,Italians,0,0,81,62,1,0
R64,chart,Mihai06,Incas,Saracens,0,0,59,100,0,0
R64,chart,Mihai06,Persians,Wei,0,1,55,94,0,0
R64,chart,Mihai06,Malians,Romans,0,0,57,89,0,0
R64,Mihai06,chart,Italians,Portuguese,0,1,103,59,0,0
R64,Mihai06,chart,Malay,Khmer,1,0,100,70,0,0
R64,Daniel,SoraKuma,Mongols,Huns,0,0,65,69,0,0
R64,Daniel,SoraKuma,Chinese,Hindustanis,0,1,63,69,0,0
